st_model,embedding,classifier,accuracy
mdl_mpnetv2,ds_tfidf,cl_dense,0.748563826084137
mdl_mpnetv2,ds_count,cl_dense,0.7414935827255249
mdl_mpnetv2,ds_rand,cl_dense,0.7061423063278198
mdl_mpnetv2,ds_zeros,cl_dense,0.7569597959518433
mdl_robertav1,ds_st,cl_dense,0.7490057349205017
mdl_robertav1,ds_tfidf,cl_dense,0.7291206121444702
mdl_robertav1,ds_count,cl_dense,0.7238179445266724
mdl_robertav1,ds_rand,cl_dense,0.6937693357467651
mdl_robertav1,ds_zeros,cl_dense,0.7326557636260986
mdl_robertav3,ds_st,cl_dense,0.7291206121444702
mdl_robertav3,ds_tfidf,cl_dense,0.7193990349769592
mdl_robertav3,ds_count,cl_dense,0.7127706408500671
mdl_robertav3,ds_rand,cl_dense,0.6778612732887268
mdl_robertav3,ds_zeros,cl_dense,0.717631459236145
mdl_sentencet5,ds_st,cl_dense,0.7414935827255249
mdl_sentencet5,ds_tfidf,cl_dense,0.7428192496299744
mdl_sentencet5,ds_count,cl_dense,0.7330976724624634
mdl_sentencet5,ds_rand,cl_dense,0.6950950026512146
mdl_sentencet5,ds_zeros,cl_dense,0.7450287342071533
mdl_distilrobertav1,ds_st,cl_conv,0.7467963099479675
mdl_distilrobertav1,ds_tfidf,cl_conv,0.7304463386535645
mdl_distilrobertav1,ds_count,cl_conv,0.7247017025947571
mdl_distilrobertav1,ds_rand,cl_conv,0.6791869401931763
mdl_distilrobertav1,ds_zeros,cl_conv,0.729562520980835
mdl_micse,ds_st,cl_conv,0.6539990901947021
mdl_micse,ds_tfidf,cl_conv,0.6787450313568115
mdl_micse,ds_count,cl_conv,0.6844896078109741
mdl_micse,ds_rand,cl_conv,0.6411842703819275
mdl_micse,ds_zeros,cl_conv,0.6513477563858032
mdl_minilml12,ds_st,cl_conv,0.7021652460098267
mdl_minilml12,ds_tfidf,cl_conv,0.7057003974914551
mdl_minilml12,ds_count,cl_conv,0.7061423063278198
mdl_minilml12,ds_rand,cl_conv,0.6637207269668579
mdl_minilml12,ds_zeros,cl_conv,0.7167477011680603
mdl_minilml6,ds_st,cl_conv,0.6950950026512146
mdl_minilml6,ds_tfidf,cl_conv,0.7158638834953308
mdl_minilml6,ds_count,cl_conv,0.7127706408500671
mdl_minilml6,ds_rand,cl_conv,0.6557666659355164
mdl_minilml6,ds_zeros,cl_conv,0.7048166394233704
mdl_mpnetv2,ds_st,cl_conv,0.7401679158210754
mdl_mpnetv2,ds_tfidf,cl_conv,0.7529827952384949
mdl_mpnetv2,ds_count,cl_conv,0.7313300967216492
mdl_mpnetv2,ds_rand,cl_conv,0.7017233967781067
mdl_mpnetv2,ds_zeros,cl_conv,0.7414935827255249
mdl_robertav1,ds_st,cl_conv,0.7476800680160522
mdl_robertav1,ds_tfidf,cl_conv,0.7313300967216492
mdl_robertav1,ds_count,cl_conv,0.7379584908485413
mdl_robertav1,ds_rand,cl_conv,0.6862571835517883
mdl_robertav1,ds_zeros,cl_conv,0.7384003400802612
mdl_robertav3,ds_st,cl_conv,0.7216084599494934
mdl_robertav3,ds_tfidf,cl_conv,0.7193990349769592
mdl_robertav3,ds_count,cl_conv,0.7171895503997803
mdl_robertav3,ds_rand,cl_conv,0.6464869379997253
mdl_robertav3,ds_zeros,cl_conv,0.719840943813324
mdl_sentencet5,ds_st,cl_conv,0.7428192496299744
mdl_sentencet5,ds_tfidf,cl_conv,0.7410516738891602
mdl_sentencet5,ds_count,cl_conv,0.7326557636260986
mdl_sentencet5,ds_rand,cl_conv,0.6928855776786804
mdl_sentencet5,ds_zeros,cl_conv,0.7357490062713623
