,st_model,classifier,ds_count,ds_rand,ds_st,ds_tfidf,ds_zeros,diff_tfidf_st,diff_count_rand
0,mdl_distilrobertav1,cl_conv,0.7118868827819824,0.6791869401931763,0.7273530960083008,0.7003977298736572,0.7286787629127502,-0.026955366134643555,0.03269994258880615
1,mdl_distilrobertav1,cl_dense,0.7110030651092529,0.67034912109375,0.729562520980835,0.7017233967781067,0.7384003400802612,-0.02783912420272827,0.04065394401550293
2,mdl_distilrobertav1,cl_rf,0.6942112240388865,0.6783031374281927,0.6924436588599204,0.6866990720282811,0.7012814847547504,-0.0057445868316393645,0.01590808661069376
3,mdl_micse,cl_conv,0.6933274269104004,0.6601855754852295,0.6818382740020752,0.6787450313568115,0.6694653034210205,-0.003093242645263672,0.0331418514251709
4,mdl_micse,cl_dense,0.6999558210372925,0.620857298374176,0.6730004549026489,0.6809544563293457,0.6672558784484863,0.007954001426696777,0.07909852266311646
5,mdl_micse,cl_rf,0.6456031816173221,0.622182942996023,0.6354396818382678,0.6548828988068935,0.6226248342907644,0.01944321696862572,0.02342023862129916
6,mdl_minilml12,cl_conv,0.6897923350334167,0.632788360118866,0.6946530938148499,0.7008395791053772,0.6999558210372925,0.006186485290527344,0.05700397491455078
7,mdl_minilml12,cl_dense,0.6902341842651367,0.6403005123138428,0.7087936401367188,0.6973044872283936,0.7039328217506409,-0.011489152908325195,0.049933671951293945
8,mdl_minilml12,cl_rf,0.6999558108705258,0.658859920459567,0.687582854617764,0.693769332744145,0.6844896155545735,0.0061864781263809565,0.041095890410958846
9,mdl_minilml6,cl_conv,0.6995139122009277,0.6394166946411133,0.698630154132843,0.7039328217506409,0.7030490636825562,0.0053026676177978516,0.06009721755981445
10,mdl_minilml6,cl_dense,0.699072003364563,0.6531153321266174,0.7127706408500671,0.7017233967781067,0.710561215877533,-0.01104724407196045,0.04595667123794556
11,mdl_minilml6,cl_rf,0.6973044631020769,0.6672558550596553,0.688466637207247,0.6955368979231109,0.6822801590808661,0.007070260715863919,0.0300486080424216
12,mdl_mpnetv2,cl_conv,0.7467963099479675,0.7087936401367188,0.748121976852417,0.7622624635696411,0.7428192496299744,0.014140486717224121,0.03800266981124878
13,mdl_mpnetv2,cl_dense,0.7379584908485413,0.7145382165908813,0.7414935827255249,0.7600530385971069,0.7432611584663391,0.01855945587158203,0.023420274257659912
14,mdl_mpnetv2,cl_rf,0.7454706142288997,0.726027397260274,0.7414935925762263,0.7384003535130358,0.7255855059655325,-0.0030932390631904783,0.01944321696862572
15,mdl_robertav1,cl_conv,0.7410516738891602,0.6809544563293457,0.7277949452400208,0.7498895525932312,0.7414935827255249,0.02209460735321045,0.06009721755981445
16,mdl_robertav1,cl_dense,0.7335395216941833,0.6836058497428894,0.7370746731758118,0.7450287342071533,0.7507733106613159,0.007954061031341553,0.049933671951293945
17,mdl_robertav1,cl_rf,0.6924436588599204,0.6805125939019001,0.6942112240388865,0.7216084843128591,0.6999558108705258,0.0273972602739726,0.011931064958020321
18,mdl_robertav3,cl_conv,0.7251436114311218,0.6716747879981995,0.7061423063278198,0.7030490636825562,0.7185152173042297,-0.003093242645263672,0.05346882343292236
19,mdl_robertav3,cl_dense,0.7154220342636108,0.6844896078109741,0.7154220342636108,0.7136544585227966,0.719840943813324,-0.001767575740814209,0.03093242645263672
20,mdl_robertav3,cl_rf,0.6831639416703491,0.6699072028281042,0.6769774635439681,0.6858152894387981,0.6641626159964649,0.008837825894829954,0.013256738842244875
21,mdl_sentencet5,cl_conv,0.7026071548461914,0.6606274843215942,0.7406098246574402,0.736190915107727,0.7428192496299744,-0.004418909549713135,0.04197967052459717
22,mdl_sentencet5,cl_dense,0.7070260643959045,0.6911180019378662,0.7490057349205017,0.736632764339447,0.7490057349205017,-0.012372970581054688,0.01590806245803833
23,mdl_sentencet5,cl_rf,0.6995139195757843,0.7061422889969068,0.7132125497127707,0.7304463102076889,0.7216084843128591,0.017233760494918204,-0.0066283694211224375
