st_model,embedding,classifier,accuracy
mdl_mpnetv2,ds_rand,cl_conv,0.9974460005760193
mdl_mpnetv2,ds_zeros,cl_conv,0.9974460005760193
mdl_robertav1,ds_st,cl_conv,0.9986069202423096
mdl_robertav1,ds_tfidf,cl_conv,0.9974460005760193
mdl_robertav1,ds_count,cl_conv,0.9988390803337097
mdl_robertav1,ds_rand,cl_conv,0.9983747601509094
mdl_robertav1,ds_zeros,cl_conv,0.9986069202423096
mdl_robertav3,ds_st,cl_conv,0.9990713000297546
mdl_robertav3,ds_tfidf,cl_conv,0.9983747601509094
mdl_robertav3,ds_count,cl_conv,0.9993034601211548
mdl_robertav3,ds_rand,cl_conv,0.9972138404846191
mdl_robertav3,ds_zeros,cl_conv,0.9972138404846191
mdl_sentencet5,ds_st,cl_conv,0.9988390803337097
mdl_sentencet5,ds_tfidf,cl_conv,0.9979103803634644
mdl_sentencet5,ds_count,cl_conv,0.9986069202423096
mdl_sentencet5,ds_rand,cl_conv,0.9976782202720642
mdl_sentencet5,ds_zeros,cl_conv,0.9993034601211548
