,st_model,classifier,ds_count,ds_rand,ds_st,ds_tfidf,ds_zeros,diff_tfidf_st,diff_count_rand
0,mdl_distilrobertav1,cl_conv,0.9979103803634644,0.9976782202720642,0.9981425404548644,0.9981425404548644,0.9983747601509094,0.0,0.00023216009140014648
1,mdl_distilrobertav1,cl_dense,0.9981425404548644,0.9981425404548644,0.9983747601509094,0.9981425404548644,0.9988390803337096,-0.0002322196960450329,0.0
2,mdl_distilrobertav1,cl_rf,0.9934989551892268,0.9941954957046668,0.9962851172509868,0.9960529370791734,0.9962851172509868,-0.00023218017181336759,-0.0006965405154399917
3,mdl_micse,cl_conv,0.9953563809394836,0.9962851405143738,0.994195520877838,0.9974460005760192,0.9960529208183287,0.0032504796981811523,-0.0009287595748901367
4,mdl_micse,cl_dense,0.9948920607566832,0.9951242208480836,0.994195520877838,0.996749460697174,0.9972138404846193,0.0025539398193359375,-0.00023216009140036853
5,mdl_micse,cl_rf,0.9804968655676806,0.9837473879730672,0.9811934060831206,0.9849082888321338,0.9798003250522406,0.0037148827490132152,-0.003250522405386591
6,mdl_minilml12,cl_conv,0.9979103803634644,0.996981680393219,0.9979103803634644,0.9976782202720642,0.9986069202423096,-0.00023216009140014648,0.0009286999702453613
7,mdl_minilml12,cl_dense,0.9972138404846193,0.9972138404846193,0.9981425404548644,0.9983747601509094,0.9990713000297546,0.0002322196960450329,0.0
8,mdl_minilml12,cl_rf,0.9948920362201068,0.9939633155328534,0.9967494775946134,0.9962851172509868,0.9944276758764802,-0.00046436034362662415,0.0009287206872533593
9,mdl_minilml6,cl_conv,0.993034601211548,0.9993034601211548,0.9986069202423096,0.9983747601509094,0.9983747601509094,-0.00023216009140014648,-0.006268858909606823
10,mdl_minilml6,cl_dense,0.9983747601509094,0.9981425404548644,0.9990713000297546,0.9983747601509094,0.9983747601509094,-0.0006965398788452148,0.0002322196960450329
11,mdl_minilml6,cl_rf,0.9941954957046668,0.9944276758764802,0.9937311353610402,0.9953563965637334,0.9944276758764802,0.00162526120269324,-0.00023218017181336759
12,mdl_mpnetv2,cl_conv,0.9974460005760192,0.9981425404548644,0.9993034601211548,0.9990713000297546,0.9988390803337096,-0.00023216009140014648,-0.0006965398788452148
13,mdl_mpnetv2,cl_dense,0.9983747601509094,0.9981425404548644,0.9990713000297546,0.9993034601211548,0.9990713000297546,0.00023216009140014648,0.0002322196960450329
14,mdl_mpnetv2,cl_rf,0.9932667750174136,0.9951242163919202,0.9948920362201068,0.9955885767355468,0.9951242163919202,0.0006965405154399917,-0.0018574413745066076
15,mdl_robertav1,cl_conv,0.9986069202423096,0.9981425404548644,0.9981425404548644,0.9972138404846193,0.9979103803634644,-0.0009286999702451393,0.0004643797874451794
16,mdl_robertav1,cl_dense,0.9983747601509094,0.9979103803634644,0.9983747601509094,0.9981425404548644,0.996981680393219,-0.0002322196960450329,0.00046437978744506836
17,mdl_robertav1,cl_rf,0.9955885767355468,0.9955885767355468,0.9948920362201068,0.9969816577664268,0.9953563965637334,0.002089621546319975,0.0
18,mdl_robertav3,cl_conv,0.9988390803337096,0.9981425404548644,0.9983747601509094,0.9988390803337096,0.9983747601509094,0.00046432018280018195,0.0006965398788452148
19,mdl_robertav3,cl_dense,0.9993034601211548,0.9983747601509094,0.9986069202423096,0.9986069202423096,0.9983747601509094,0.0,0.0009286999702453613
20,mdl_robertav3,cl_rf,0.9958207569073602,0.9948920362201068,0.9951242163919202,0.9958207569073602,0.9967494775946134,0.0006965405154399917,0.0009287206872533593
21,mdl_sentencet5,cl_conv,0.9988390803337096,0.9974460005760192,0.9983747601509094,0.9990713000297546,0.9993034601211548,0.0006965398788452148,0.0013930797576904297
22,mdl_sentencet5,cl_dense,0.9979103803634644,0.9946598410606384,0.9986069202423096,0.9986069202423096,0.9988390803337096,0.0,0.0032505393028259277
23,mdl_sentencet5,cl_rf,0.9967494775946134,0.9967494775946134,0.9960529370791734,0.9958207569073602,0.9962851172509868,-0.00023218017181325656,0.0
